2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:23 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:24 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:24 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:24 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:32 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:33 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:33 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:33 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:33 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:33 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:34 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:35 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:36 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:37 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:38 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:38 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:38 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:38 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:38 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:39 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:39 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:39 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:39 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:39 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:40 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:40 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:40 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:41 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:41 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:43 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:47 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:47 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:47 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:47 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:47 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:48 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:49 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:50 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:50 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:50 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:50 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
